"","direction","MS","RA","SLE","UC","CD","psoriasis"
"PRDX5","DOWN",0.104302672230444,0.00425016832887407,0,0.00794596687572109,0.0511687214812176,0.00425016832887407
"PTPRCAP","DOWN",0,0,0,0,0,0
"TYMP","DOWN",0.169737772331124,0,0,0.013919234948391,0.0110246211060529,0
"CYBA","DOWN",0.0228524720596365,0.0319012314471427,0,0.0206964718623433,0,0.0319012314471427
"MPHOSPH9","UP",0.034441192534942,0,0,0,0,0
"MRPS12","DOWN",0,0,0,0,0,0
"TKT","DOWN",0.244161129199793,0.00949830560186918,0,0.0105721208703531,0.00184789927342351,0.00949830560186918
"PARVB","DOWN",0,0,0,0.0743470804794029,0,0
"MCRIP1","DOWN",0.00136969696506198,0,0.0856076741447888,0,0,0
"EEF1D","DOWN",0,0.00295663883747761,0,0,0,0.00295663883747761
"DUSP23","DOWN",0,0,0,0,0.00801113972722234,0
"NAIP","UP",0,0,0,0.0155236776189465,0.00235520177545978,0
"LTBP1","DOWN",0,0,0,0,0,0
"NUBP2","DOWN",0,0,0,0,0,0
"CEP152","UP",0,0,0,0.00125872710554338,0,0
"UBE2S","DOWN",0,0,0,0,0.00369579854684702,0
"CNTRL","UP",0,0,0,0.00369579854684702,0,0
"RPS10","DOWN",0,0.43388168527863,0,0.0617342297647489,0,0.43388168527863
"ALKBH7","DOWN",0.00141450827236111,0,0,0.00369579854684702,0,0
"SDF2L1","DOWN",0,0.274121955533992,0,0.00591327767495523,0.0174454465913021,0.274121955533992
"TST","DOWN",0,0,0,0.012187306352511,0,0
"ABHD17A","DOWN",0,0,0,0,0,0
"ZNF787","DOWN",0.00139409012793561,0,0,0,0,0
"LRP8","UP",0,0,0,0.0352369842548461,0.00429678585971459,0
"RPSA","DOWN",0.0109002913146043,0.042954726154953,0,0.0153744124072449,0.0114741524622276,0.042954726154953
"BCLAF3","UP",0,0,0,0,0,0
"DRAP1","DOWN",0,0,0.369328000639748,0,0,0
"OVCA2","DOWN",0,0,0,0,0,0
"DNAH1","UP",0,0,0,0,0,0
"ALPK1","UP",0,0,0,0.0170006733154963,0,0
"HEBP2","DOWN",0,0,0,0,0,0
"ANKRD44","UP",0,0,0.183246635549397,0.00147831941873881,0.00131677495835228,0
"PPP1R12B","UP",0,0,0,0.0162959532315143,0.00166654230276738,0
"ELOB","DOWN",0.00431589291970074,0,0,0,0,0
"CUTA","DOWN",0,0.401516982084606,0,0.00369579854684702,0,0.401516982084606
"PRR7","DOWN",0,0,0,0.00972365453920604,0,0
"PGP","DOWN",0.0054283067767523,0.00908550476099892,0.059502356604237,0.0462549252946609,0.00463718799484219,0.00908550476099892
"PKD2","UP",0,0,0,0.0184789927342351,0,0
"RNF187","DOWN",0,0,0,0.00147831941873881,0,0
