"","GSM2577895","GSM2577932","GSM2577976","GSM2577988","GSM2578061","GSM2578072","GSM2578181","GSM2578228","GSM2578242","GSM2578442","GSM2578450","GSM2578593","GSM2578614","GSM2578635","GSM2578710","GSM2578752"
"LOC441150",7.378426,6.514577,6.621688,6.318765,6.040688,6.968355,6.64514,7.033621,7.052783,7.20436,6.438749,6.727462,6.828286,6.921566,6.956696,6.364556
"LOC441151",5.638367,5.420044,5.585409,4.915943,5.001914,5.253157,4.747049,4.375744,4.702741,4.686081,5.395003,5.10999,5.313741,4.928518,5.145813,4.613467
"LOC441154",9.068667,9.410495,9.329585,9.607309,9.491456,9.270656,9.523087,9.236589,9.61941,9.726799,9.325873,9.279033,9.726799,9.829929,9.675703,9.302937
"LOC441155",6.543467,7.03092,6.856399,6.536076,7.366848,6.213768,6.48988,6.657548,6.387236,5.489346,7.356514,7.210183,7.069253,7.364254,6.077194,7.170946
"LOC441179",4.578234,4.606792,5.124605,5.280326,4.731316,5.117994,4.970562,4.554377,4.404543,5.375108,5.588476,4.897112,4.494476,4.597041,4.619147,5.081342
"LOC441191",6.187747,6.591961,6.808577,6.281587,7.144439,6.415558,5.960305,6.600275,6.307487,5.534896,6.928845,6.914981,6.611501,6.883162,5.729532,6.87205
"LOC441193",4.695659,5.715444,4.68266,5.163847,4.843763,4.955493,4.525599,4.572343,4.913307,4.466164,5.544351,5.205219,4.751308,4.683904,5.08431,4.788936
"LOC441212",4.808261,4.885652,4.708241,4.935045,4.518445,5.136653,4.582462,4.770253,4.81466,4.449138,4.736223,4.518554,4.756209,4.594734,5.122012,5.076342
"LOC441241",4.938177,4.499105,4.569929,4.757396,4.680672,5.138971,5.005459,4.785296,4.87076,4.527446,6.895847,4.618507,4.809272,5.092759,4.453013,5.012702
"LOC441246",13.72925,13.28727,13.78167,13.33017,13.59997,13.5619,13.54486,13.87639,13.75558,13.72925,13.49047,13.2443,13.91216,13.91216,13.93487,13.51939
"LOC441251",5.055404,5.490805,5.056336,4.947985,5.198305,4.978317,5.500286,4.785908,4.89657,5.965947,5.46687,5.008898,5.511088,4.986724,5.43442,4.615676
"LOC441253",6.508508,5.908467,6.061924,5.881582,5.910126,6.129145,5.920155,6.338742,5.277526,5.646313,5.889383,6.103324,6.176085,6.827305,5.911558,5.937749
"LOC441257",4.688526,4.925169,4.430676,4.572599,5.081269,4.682253,4.868658,4.867423,4.557815,4.674507,4.492291,4.69669,4.498222,4.960835,4.761479,5.263173
"LOC441268",6.71935,7.704296,7.596644,8.32043,7.40374,9.102491,7.902676,7.975694,7.834181,8.584857,7.706193,7.996089,8.313034,7.390112,8.413564,8.271692
"LOC441294",4.54868,5.098226,4.877677,4.725442,4.574801,4.510498,4.811467,5.062659,4.668975,4.555412,4.844593,4.617276,4.883771,4.693942,4.627739,5.490274
"LOC441377",11.50636,10.18409,9.33122,13.29133,12.41854,10.09234,10.13296,11.8541,11.47495,12.56791,9.818512,12.14317,9.382668,11.40612,10.13854,9.918589
