symbol	globalScore	gwasCredibleSets	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	chembl	crisprScreen	crispr	slapenrich	progeny	reactome	sysbio	europepmc	expressionAtlas	impc	maxClinicalTrialPhase	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
MPZ	0.004496554898663872	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.03698245685470695	No data	No data	No data	1	0	0	0	0	0.69758	No data	-0.33569493644509274	-0.7320016674200674	0	No data	No data	0	0.5	0
SNX3	0.004496275970647935	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.03698016277767521	No data	No data	0	0	0	0	0	1	No data	-0.09085226088768494	-0.3058419068976731	0	No data	No data	-0.4598775	-1	-1
GARRE1	0.004492029635638221	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.03694523828440725	No data	No data	0	0	0	0	0	0.6448599999999999	No data	-0.7398416336736819	0	0	No data	No data	No data	-1	-1
ARHGEF3	0.0044906649440010545	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.036934014213817916	No data	No data	0	0	0	0	0	0.64829	No data	-0.4788497603667431	0	0	No data	No data	0	-1	-1
OAS3	0.004489249034753687	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.03343619386863916	0.013944700116764196	No data	No data	1	0	0	0	0	0	No data	0.41946238799749946	No data	0	No data	No data	0	-1	0
CELF3	0.004488460254346362	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.036915881478452685	No data	No data	0	0	0	0	0	0.9784950000000002	No data	-0.636382579704105	0	0	No data	No data	-0.19354750000000004	0.75	0.5
PODXL2	0.0044833252151450145	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.024317231904464845	0.030794339754502655	No data	No data	0	0	0	0	0	0	No data	-0.9486351323192331	-0.036984376488141124	0	No data	No data	No data	0.5	-1
IGDCC4	0.004482280598815367	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.030396539880581056	0.025874065109325002	No data	No data	0	0	0	0	0	0.4079999999999998	No data	-0.43373619504063343	No data	0	No data	No data	0	0.5	0
MAP3K3	0.004481703345773717	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.030396539880581056	0.02585507436090698	No data	No data	0	0	1	1	0	0.8322699999999997	No data	-0.7534903104813503	-0.8643555271418865	0	No data	No data	-0.13737999999999992	-1	-1
POLR2B	0.0044790300764742195	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.036838321845767595	No data	No data	0	0	0	0	0	0.99574	No data	-0.6985830381329443	0	-1	No data	No data	0	-1	-1
UICLM	0.004477143169400655	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.03682280275148105	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
KIR3DL2	0.004477108591686905	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.030396539880581056	0.025703913929329476	No data	0.5	1	0	0	0	0	No data	No data	0.8902896436757657	No data	0	No data	No data	-0.5879124999999998	0.5	1
ENSG00000174171	0.004475478205127327	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.03680910905246244	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
LDHAL6A	0.004474120840009146	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.036797945239710125	No data	No data	0	0	0	0	0	No data	No data	0.7130652219212337	0	0	No data	No data	-0.5557224999999999	1	0.5
LINC00944	0.004472024197203902	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.036780701148659944	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
IGLV2-11	0.004464582015388703	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.03671949202876968	No data	No data	1	1	0	0	0	No data	No data	No data	No data	No data	No data	No data	-0.8109249999999999	0.5	0
TRAT1	0.00446351217736725	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.030396539880581056	0.025256612546571064	No data	No data	1	0	0	0	0	0	No data	-0.15930402167118152	0	0	No data	No data	No data	1	0.5
UNC119B	0.004462918339533972	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.03670580892650486	No data	No data	0	0	0	0	0	0.5219099999999998	No data	-0.49364450927276515	No data	0	No data	No data	0	-1	-1
EVX2	0.004462099724990947	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.036699076132688184	No data	No data	0	0	0	0	0	0.7058799999999998	No data	-0.29026880600125027	0	0	No data	No data	0	0.5	0.5
WNT10B	0.004460087533976166	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.030396539880581056	0.025143946979880316	No data	No data	0	1	0	0	0	0.84576	No data	0.006042925609502037	-0.10783214861928653	0	No data	No data	-0.0424175	1	0
CNTN4-AS2	0.004449207671916126	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.03659304389081567	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
LBX2-AS1	0.004443651583604476	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.036547347173907445	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
