symbol	globalScore	gwasCredibleSets	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	chembl	crisprScreen	crispr	slapenrich	progeny	reactome	sysbio	europepmc	expressionAtlas	impc	maxClinicalTrialPhase	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
LSMEM2	0.003202828095082453	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.026342045078694896	No data	No data	1	0	0	0	0	0	No data	0.8031881642008751	No data	0	No data	No data	No data	0.5	0.5
TRGJP	0.0031893397056854075	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.026231108196980418	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0.5
CACNG6	0.0031723115126017576	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.02609105777388499	No data	1	0	0	1	0	0	0.25	No data	0.745884559283184	No data	0	No data	No data	0	0.75	0.5
IL1R2	0.0031693596331474052	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.02606677968609976	No data	No data	1	1	0	0	0	0	No data	0.745363617420296	-0.18636218050164965	0	No data	No data	0	0.5	0
TENT5B	0.003167092594857293	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.026048134156879826	No data	No data	0	0	0	0	0	0.5764699999999998	No data	-0.2383829964575953	0	0	No data	No data	-0.02353000000000005	0.5	0
IFITM10	0.003157434703031803	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.025968701663383584	No data	No data	1	0	0	0	0	0.18859500000000012	No data	0.15503229839549904	No data	0	No data	No data	0	0.5	0.5
ASPH	0.003154274388869033	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.025942709279257088	No data	No data	0	0	1	1	0	0.06991999999999976	No data	-0.11325276099187331	-0.8584028033300933	0	No data	No data	0	0.5	-1
ENSG00000251139	0.0031329252061928644	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.025767120357293904	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5078141279433215	No data	No data	No data	No data	No data	No data	No data
ENSG00000271947	0.003124163928213146	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.02569506217226578	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MMP28	0.003115619000347194	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.025624783384782714	No data	No data	0	1	0	0	0	0.24038499999999985	No data	No data	0	0	No data	No data	0	-1	0
GPRC5D	0.003109084410649948	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.025571038865481184	No data	1	1	0	0	0	0	0.05797000000000026	No data	-0.016461762867263974	No data	0	No data	No data	0	1	0.5
ENSG00000260725	0.003107762525708319	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.025560166863710404	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
KLF15	0.003107279994531771	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.025556198227983745	No data	No data	0	0	0	0	0	0.2548099999999998	No data	-0.36205459470723067	-0.9602580785805453	0	No data	No data	0	0.5	0
ZNF608	0.003095116529958922	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.025456158349920027	No data	No data	0	0	0	0	0	0.6527799999999999	No data	-0.9276932694311315	No data	0	No data	No data	0	-1	-1
CCNA1	0.0030922472976284755	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.025432560003350653	No data	No data	0	0	1	1	0	0.21614999999999968	No data	-0.28537195249010205	0	0	No data	No data	0	0.5	0
KCNA5	0.0030911816502813107	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.025423795458509764	No data	1	1	0	1	1	0	0.3148449999999997	No data	0.010627214002917329	-0.7403064697536432	0	No data	No data	0	0.75	0
ENSG00000234389	0.0030834799362460356	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.025360451784644807	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
