symbol	globalScore	gwasCredibleSets	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	chembl	crisprScreen	crispr	slapenrich	progeny	reactome	sysbio	europepmc	expressionAtlas	impc	maxClinicalTrialPhase	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
LINC02323	0.002279512179457639	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.018748122223887675	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
COL14A1	0.0022784594915070573	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.01873946426516345	No data	No data	0	1	0	0	0	0.49053499999999983	No data	-0.45217753698687224	0	0	No data	No data	0	0.5	0
EVX2	0.0022773762576464834	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.01873055507792676	No data	No data	0	0	0	0	0	0.7058799999999998	No data	-0.29026880600125027	0	0	No data	No data	0	0.5	0.5
CA8	0.002276477212834178	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.018723160775681858	No data	No data	No data	No data	0	0	0	0.9482750000000003	No data	-0.2965201083559075	-0.27542017038737987	0	No data	No data	0	0.5	0
DSCAML1	0.0022740102144847845	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.018702870650892277	No data	No data	1	0	0	0	0	0.9074500000000001	No data	-0.9275890810585539	-0.6844472055340164	0	No data	No data	0	0.5	0
RANBP3L	0.002270591168794631	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.018674750298184488	No data	No data	0	0	0	0	0	0	No data	0.3228797666180454	No data	0	No data	No data	0	0.5	0
SUSD3	0.0022679432493515183	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.018652972166088567	No data	No data	1	0	0	0	0	0	No data	0.45978328818503855	No data	0	No data	No data	0	0.5	0
PEG3	0.002267275905787263	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.0186474835186399	No data	No data	0	0	0	0	0	0	No data	-0.4903104813502813	-0.7400192524586798	0	No data	No data	0	0.5	0
GMFG	0.0022666880829060234	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.01864264889861778	No data	No data	0	0	0	0	0	0.6831000000000003	No data	0.710773077724526	-0.1666389176743005	0	No data	No data	-0.5422525	0.75	-1
ENSG00000285836	0.002265592933818535	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.01863364171316352	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
CHIT1	0.0022650758842439555	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.018629389176718497	No data	No data	0	1	1	1	1	0	No data	0.4878099604084185	0	0	No data	No data	0	0.5	0
CAPN14	0.0022644387430435023	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.018624148932245305	No data	No data	No data	No data	0	0	0	No data	No data	0.24796832673473634	No data	0	No data	No data	0	1	0.5
ENPP3	0.0022643881059073033	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.018623732461025246	No data	0.5	1	0	1	1	0	0.039999999999999855	No data	0.1444050843925817	-0.5679314668259041	0	No data	No data	0	0.5	0
